"firstName","lastName","companyName","designation","pictureUrl","emailContacts"
ram,singh,bridger,md,http://192.168.1.116:3000/api/v1/dashboard/createContacts/uploadImage/image_1658481692853.jpg,ram@55575.co
rama,kumar,bridger,md,http://192.168.1.116:3000/api/v1/dashboard/createContacts/uploadImage/image_1658484609285.jpg,ram@4487.co
satyam,kumar,bridger,CEO,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658821375327.jpg,sk@554575.co
satyam,kumar,bridger,CEO,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658828374907.png,sk@44854.co
Harsh,Singh,ABC Corp,Delhi,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658898733062.jpg,uday210622@gmail.com
Vinay,Kumar,Abc Corp,del,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658898744741.jpg,abc@gmail.com
a a rf f s,b,c,d,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658913186282.jpg,harry@4445.co
harry a s a a c f s,kumar,abc,CEO,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658913233418.png,harry@444.co
elina,forker,bridger,pmo,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658925723785.jpg,ak@7845.co
ram,kumar,bridger,md,http://192.168.1.116:3000/api/v1/dashboard/createContacts/uploadImage/image_1658559941282.jpg,sk@4654.co
rama,kumar,bridger,md,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658729759659.jpg,ram@50275.co
vinay,kumar,monster group,CEO,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658729840154.jpg,vinay@444.co
ramesh,kumar,bridger,md,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658926630338.jpg,rk@7448.co
new3,singh,ABCD,Manager,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658733869109.png,new3@gmail.com
harry,g,df as,dsf ,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1659013980203.png,dsf@mail.com
vinay,kumar,monster group,CEO,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658813186664.jpg,vinay@44458.co
new4,singh,ABCD,Manager,http://localhost:3000/api/v1/dashboard/createContacts/uploadImage/image_1659333627108.jpg,new4@gmail.com
satyam,kumar,bridger,md,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658899559131.jpg,sk@487855575.co
romika,varma,bridger,CEO,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658921663846.jpg,ram@55574875.co
vinay,kumar,bridger,md,http://192.168.1.132:3000/api/v1/dashboard/createContacts/uploadImage/image_1658921701864.jpg,vinay@44754.co
Harsh,Singh,ABC Corp,Delhi,,no-reply@primevideo.com
